Date,Close
20-Feb,437.64
20-Mar,408.79
20-Apr,565.28
20-May,603.03
20-Jun,642.33
20-Jul,656.81
20-Aug,750.38
20-Sep,747.55
20-Oct,774.43
20-Nov,750.31
20-Dec,787.76
21-Jan,830.38
21-Feb,806.4
