Date,Close
20-Feb,409.65
20-Mar,366.12
20-Apr,452.78
20-May,457.86
20-Jun,485.19
20-Jul,487.63
20-Aug,530.04
20-Sep,507.88
20-Oct,493.18
20-Nov,506.23
20-Dec,571.17
21-Jan,595.69
21-Feb,590. 15
