Date,Close
20-Feb,596.3
20-Mar,482.3
20-Apr,465.44
20-May,524.4
20-Jun,569.67
20-Jul,629
20-Aug,704.7
20-Sep,768.5
20-Oct,850.67
20-Nov,827
20-Dec,886.4
21-Jan,981.1
21-Feb,928.35
